col_name,feature_importance
Title_Mr,0.2566612050017576
Sex_male,0.1668179282222944
Title_Mrs,0.09698015038566683
Pclass_3,0.08492825884738948
Cabin_X,0.08344381822202729
Title_Miss,0.07445341894652854
FamilySize,0.061583152334773794
IsAlone,0.029070125754473843
Embarked_S,0.020039707852250926
Pclass_2,0.014034064801181134
Cabin_E,0.013853075124270696
FareBin_2,0.011977563688464981
FareBin_4,0.010780301531215371
Cabin_B,0.010566167589028057
Embarked_Q,0.009297278227764199
Cabin_D,0.009023462836994513
Title_Misc,0.0081605773453479
AgeBin_2,0.007960709642249047
FareBin_3,0.007600323109088984
AgeBin_3,0.00664009745075533
Cabin_C,0.004948270813430765
AgeBin_4,0.004174879844722668
AgeBin_5,0.002946531399942941
Cabin_F,0.0023005687342377724
Cabin_G,0.0017583622941429711
