parameters,mean_validation_score
"{u'alpha': 0.001, u'l1_ratio': 0}",0.8132022471910112
"{u'alpha': 0.001, u'l1_ratio': 0.02}",0.8160112359550562
"{u'alpha': 0.001, u'l1_ratio': 0.04}",0.8160112359550562
"{u'alpha': 0.0001, u'l1_ratio': 0}",0.7921348314606742
"{u'alpha': 0.0001, u'l1_ratio': 0.02}",0.7879213483146067
"{u'alpha': 0.0001, u'l1_ratio': 0.04}",0.7893258426966292
"{u'alpha': 1e-05, u'l1_ratio': 0}",0.7640449438202247
"{u'alpha': 1e-05, u'l1_ratio': 0.02}",0.7780898876404494
"{u'alpha': 1e-05, u'l1_ratio': 0.04}",0.7514044943820225
